County name,Q4-1995,Q1-1996,Q2-1996,Q3-1996,Q4-1996,Q1-1997,Q2-1997,Q3-1997,Q4-1997,Q1-1998,Q2-1998,Q3-1998,Q4-1998,Q1-1999,Q2-1999,Q3-1999,Q4-1999,Q1-2000,Q2-2000,Q3-2000,Q4-2000,Q1-2001,Q2-2001,Q3-2001,Q4-2001,Q1-2002,Q2-2002,Q3-2002,Q4-2002,Q1-2003,Q2-2003,Q3-2003,Q4-2003,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hertfordshire,"91,105","90,849","91,729","93,471","95,062","96,405","98,755","101,518","105,668","109,090","113,692","118,255","120,835","122,369","124,163","129,243","133,476","138,252","144,712","150,524","156,959","161,245","165,861","170,475","173,453","176,840","183,170","192,312","201,281","208,931","216,672","221,705","226,637","229,678","233,282","239,121","242,936","246,053","249,875","253,292","256,649","258,007","261,582","267,737","272,418","278,129","283,055","289,684","294,815","297,766","302,508","300,273","297,487","293,705","284,146","282,906","287,867","292,117","298,565","310,436","318,118","320,291","322,028","317,149","313,074","310,873","315,054","318,785","322,986","327,734","326,872","328,256","333,760","337,159","344,751","354,483","363,034","370,631","377,321","387,077","398,104","407,579","416,784","428,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent,"71,227","71,636","72,369","73,703","75,169","76,367","78,455","80,284","81,961","83,705","85,930","88,409","90,334","90,457","92,056","95,181","98,188","102,312","106,804","110,629","115,149","118,074","122,028","127,100","130,391","133,288","137,621","145,037","152,471","157,916","164,069","168,512","174,591","178,530","184,758","192,533","196,617","200,498","201,568","202,418","204,083","205,298","209,328","213,141","217,911","221,230","224,500","228,728","231,835","234,404","237,117","236,939","232,937","227,245","218,975","216,922","218,759","225,381","231,623","238,213","242,338","241,292","239,885","236,781","235,018","232,853","233,056","236,230","238,847","241,520","242,956","243,387","245,873","247,279","250,736","256,311","261,758","266,363","270,690","276,278","282,478","288,740","293,924","299,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancashire,"50,749","50,629","50,884","51,758","52,934","53,935","55,146","56,064","56,867","56,950","57,424","58,079","58,807","59,606","60,442","61,633","63,192","63,675","64,544","65,126","65,216","65,981","67,372","69,374","70,968","72,558","74,529","77,367","80,551","82,598","86,493","91,761","98,535","102,438","108,527","113,276","117,052","120,967","122,621","124,434","126,895","128,539","132,423","137,072","140,635","143,763","146,565","149,485","152,247","153,655","154,903","153,860","152,450","151,727","149,715","149,248","150,321","150,712","152,699","153,981","152,561","151,740","149,674","148,775","148,032","148,644","148,519","147,399","148,290","149,453","150,694","152,281","153,346","152,947","154,349","156,379","157,922","159,571","160,766","161,628","163,350","164,563","165,495","164,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leicestershire,"62,328","62,506","62,476","63,200","63,970","64,435","65,792","66,933","68,407","69,483","70,960","72,909","73,593","74,601","76,133","78,349","80,592","82,472","84,188","85,520","87,818","89,128","92,496","95,342","98,486","100,825","105,284","112,427","119,718","125,333","133,217","140,284","146,858","150,972","155,758","161,692","165,890","169,927","174,420","176,634","177,045","176,624","177,133","179,163","181,676","184,543","188,682","191,655","194,369","195,529","194,511","190,756","184,184","179,382","174,315","172,395","174,054","178,864","182,964","187,207","190,024","187,753","185,672","186,003","186,050","184,687","184,453","182,324","183,845","185,825","187,325","189,050","190,146","191,973","195,807","200,586","204,050","205,942","209,518","211,235","214,254","216,801","218,361","220,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,"50,587","50,672","50,726","51,154","51,658","52,171","53,336","54,176","55,322","56,149","56,927","57,954","58,618","59,045","59,432","60,821","62,142","63,392","65,502","67,367","69,683","71,038","73,502","76,041","77,990","80,413","84,268","89,716","96,190","101,445","108,097","114,157","119,922","123,673","129,074","135,628","140,691","144,409","147,335","148,061","148,629","148,725","149,772","152,022","154,256","156,445","159,050","161,177","163,695","164,699","164,583","163,662","158,629","156,155","151,029","147,932","149,343","150,612","153,644","155,948","157,267","156,310","154,743","153,803","152,403","152,981","153,614","153,130","153,485","153,081","152,680","154,079","156,496","158,257","160,698","163,670","166,024","167,538","170,118","173,165","175,830","177,963","179,924","181,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk,"55,062","54,697","54,846","55,164","55,880","56,659","57,587","58,889","59,907","60,538","61,805","64,153","64,968","65,921","66,679","67,517","70,098","71,665","74,564","77,891","81,056","83,543","87,121","91,064","95,623","99,255","104,483","112,066","118,712","123,939","130,146","135,194","139,860","142,792","147,708","153,596","158,713","162,663","165,285","166,482","166,757","167,008","168,506","172,220","177,079","180,343","185,124","188,972","190,747","192,470","192,543","189,500","185,517","182,207","176,595","174,992","175,408","177,667","181,965","186,041","189,628","188,018","185,605","183,432","182,711","182,065","182,595","182,098","182,982","185,656","186,480","189,494","191,137","191,550","195,408","199,257","202,397","205,581","207,509","210,527","214,141","216,826","220,602","223,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northamptonshire,"57,090","57,115","57,889","58,578","59,707","60,977","61,980","64,132","65,845","67,334","70,018","71,749","72,894","73,211","74,186","76,197","79,520","81,733","84,548","87,867","89,999","92,105","96,196","99,208","101,927","104,129","108,260","112,643","118,516","123,075","128,249","135,021","140,787","144,006","147,440","151,354","154,783","158,287","160,706","161,663","161,938","161,963","165,059","166,970","169,504","172,118","174,623","178,768","181,606","183,190","183,241","181,230","178,185","175,518","170,940","169,074","171,036","173,208","177,349","179,983","179,568","179,343","178,097","176,845","178,373","178,158","179,143","179,867","179,283","181,055","181,675","182,647","185,478","186,972","190,798","194,518","197,367","199,886","203,493","209,073","214,835","216,737","219,253","221,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yorkshire,"69,377","69,493","70,050","71,067","72,254","72,693","74,312","75,323","76,271","77,155","77,441","78,666","78,687","79,136","80,113","82,996","85,377","87,107","89,262","90,807","93,538","94,979","98,426","101,500","103,502","106,484","111,594","119,064","126,846","133,302","139,833","147,170","154,064","158,844","168,036","177,694","186,029","190,711","194,053","195,482","197,211","198,968","202,566","205,764","209,764","212,069","214,589","219,855","222,381","224,806","227,579","223,201","220,181","215,507","206,639","206,842","209,264","213,758","219,075","221,664","222,805","221,735","220,419","219,355","218,079","216,669","217,276","216,311","216,001","216,163","214,764","215,216","216,368","216,173","218,173","219,532","221,461","223,360","224,800","229,444","233,179","234,205","237,975","238,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottinghamshire,"54,078","54,155","54,522","55,786","56,892","57,443","58,219","59,026","59,616","60,524","61,382","62,405","63,044","63,963","65,513","67,482","69,670","70,596","72,027","73,649","75,080","76,021","78,147","80,062","81,953","84,096","87,373","92,094","98,841","103,199","109,056","114,934","120,383","124,779","130,247","135,885","140,468","144,275","146,679","148,368","148,723","148,609","149,782","152,350","154,571","156,419","159,560","160,572","160,710","161,169","159,371","156,584","153,583","151,540","149,959","150,889","155,174","156,928","158,533","159,899","159,383","158,031","157,489","157,011","156,516","156,782","156,469","156,050","155,872","156,226","157,704","158,749","159,830","160,445","161,845","164,136","166,472","168,197","170,387","173,919","177,746","178,747","180,516","182,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxfordshire,"89,207","89,140","89,384","91,405","91,909","92,639","94,573","97,747","100,787","103,701","107,706","112,127","114,771","117,672","121,017","125,783","130,345","135,021","141,247","149,830","158,666","161,699","166,671","170,229","172,618","176,562","183,464","193,867","201,214","207,939","215,458","220,270","225,295","228,391","231,878","237,469","241,024","244,042","244,129","244,624","245,051","246,838","252,287","259,871","267,811","270,544","275,428","282,896","288,676","293,812","299,060","298,432","292,418","288,226","281,566","272,626","271,932","280,531","287,439","302,269","311,392","310,620","310,906","308,352","307,313","306,412","311,781","313,055","318,453","318,347","316,910","321,787","321,629","325,135","328,394","336,954","345,895","351,160","358,880","366,753","374,296","380,846","386,204","389,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerset,"62,890","63,029","63,109","65,135","66,358","67,259","68,500","69,519","70,907","72,216","74,162","76,003","77,118","77,566","79,332","82,259","86,085","89,420","92,663","97,124","99,675","101,165","103,514","106,683","110,730","114,359","120,821","128,599","135,376","140,899","146,929","153,660","159,224","163,586","169,510","175,742","182,981","187,081","189,670","188,969","186,903","185,851","187,347","191,885","197,276","201,685","207,577","213,274","216,789","220,107","220,649","217,449","211,463","204,052","196,170","194,850","197,192","199,923","205,562","208,728","210,985","210,487","208,393","206,410","206,450","205,322","206,288","206,273","207,644","210,109","209,238","212,095","210,129","210,431","213,459","216,548","218,966","221,002","222,318","223,055","225,094","226,101","230,256","233,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staffordshire,"58,556","58,767","58,821","59,949","60,966","62,006","63,452","65,019","65,500","65,978","66,831","67,753","69,294","70,300","71,679","73,170","75,072","76,809","78,040","79,593","81,092","81,714","84,663","87,223","90,078","92,655","96,125","102,095","107,620","111,754","117,576","122,356","128,625","132,894","138,420","144,917","149,921","154,053","157,442","158,847","160,432","161,324","163,709","166,587","169,244","170,891","173,034","175,230","176,959","178,620","178,685","178,357","175,321","171,991","168,292","165,838","166,870","168,935","171,134","172,661","175,586","173,992","172,469","170,763","168,710","168,970","168,430","170,125","170,283","170,867","171,497","172,077","172,900","173,410","175,050","178,541","181,385","183,559","187,230","189,532","191,890","192,297","194,120","195,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffolk,"60,505","60,580","60,513","60,953","61,749","62,562","64,236","66,214","67,921","68,756","70,324","71,944","72,726","74,100","75,183","77,122","80,576","82,385","85,842","89,787","92,448","94,751","97,658","101,522","105,572","109,430","115,551","123,059","129,664","134,540","139,572","143,989","148,441","151,885","157,411","164,748","170,802","174,689","177,614","177,512","177,587","177,465","178,830","183,636","188,437","192,027","196,438","199,935","202,863","205,655","207,344","205,179","200,182","193,928","187,087","184,718","185,083","190,471","195,944","201,352","205,683","204,010","203,229","202,157","201,036","200,122","200,433","200,181","201,619","202,535","202,557","203,481","206,787","207,278","210,637","216,933","219,717","224,875","229,658","232,780","236,428","237,489","240,026","242,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrey,"114,066","114,574","115,667","117,027","119,019","120,957","124,178","129,040","133,050","137,188","142,208","148,148","153,126","155,149","160,483","168,231","174,845","181,427","190,016","199,857","207,703","211,600","216,982","221,124","224,673","228,741","235,429","245,658","254,827","261,111","266,223","270,281","273,739","276,849","285,132","291,824","298,000","301,863","301,718","305,555","308,005","311,686","318,928","326,117","333,708","341,282","349,785","362,991","371,108","377,541","380,648","375,053","370,259","359,414","348,484","344,612","351,886","360,269","374,302","389,905","397,119","401,242","397,533","395,140","393,801","386,071","393,271","395,927","400,197","410,348","411,066","415,007","417,760","420,970","427,355","439,807","450,389","455,815","460,341","465,307","475,472","484,059","491,489","498,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
